Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2014-03-10,Lunch,365.0,18.5,8.5,0.0,0.0,0.0,90.0,690.0,409.0,22.0,9.0,4.0,38.0,24.0,124.0,15.0,8.0,
2014-03-10,Dinner,917.7,34.7,11.1,0.2,0.2,0.0,330.0,2036.2,68.0,43.0,12.7,11.3,119.1,18.4,59.6,27.5,31.5,
2014-03-11,Breakfast,240.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,110.0,56.0,2.0,18.0,4.0,20.0,20.0,20.0,50.0,
2014-03-11,Lunch,275.0,18.0,11.2,0.5,5.2,0.0,82.2,1028.4,58.8,1.5,0.0,0.0,30.5,15.0,3.0,40.0,5.0,
2014-03-11,Dinner,595.0,6.9,2.4,0.1,0.1,0.0,154.4,661.5,615.2,55.0,3.3,27.6,77.9,12.0,125.7,14.4,24.7,
2014-03-12,Breakfast,105.0,1.0,0.1,0.1,0.0,0.0,0.0,1.0,422.0,27.0,3.1,14.0,1.3,1.0,17.0,0.0,1.0,
2014-03-12,Lunch,700.8,30.5,9.3,0.0,0.0,0.0,140.0,2330.0,409.0,53.7,12.3,9.0,59.7,82.3,157.3,18.3,18.0,
2014-03-12,Dinner,187.5,4.2,1.0,2.0,1.0,0.0,0.0,472.3,222.7,30.2,2.3,2.2,5.6,21.1,104.3,0.6,16.5,
2014-03-12,Snacks,600.0,22.5,2.5,10.0,10.0,0.0,0.0,250.0,0.0,105.0,10.0,0.0,10.0,0.0,0.0,20.0,0.0,
2014-03-14,Breakfast,120.0,3.0,0.5,0.0,0.0,0.0,0.0,110.0,0.0,24.0,3.0,12.0,2.0,15.0,0.0,20.0,10.0,
2014-03-14,Lunch,417.5,23.8,8.5,0.0,0.0,0.0,90.0,830.0,409.0,22.0,9.0,4.0,38.0,24.0,124.0,15.0,8.0,
2014-03-14,Dinner,546.6,27.8,7.0,2.2,1.9,0.0,94.7,1291.8,520.2,30.4,1.9,1.3,38.4,8.5,3.4,19.8,19.1,
2014-08-28,Breakfast,640.0,26.0,11.0,0.0,0.0,0.0,115.0,1525.0,0.0,70.0,4.0,7.0,28.0,6.0,0.0,15.0,25.0,
2014-08-29,Breakfast,270.0,3.0,0.0,0.0,0.0,0.0,0.0,360.0,86.0,53.0,2.0,5.0,9.0,0.0,8.0,4.0,20.0,
2014-08-29,Lunch,470.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.5,6.5,0.0,0.0,0.0,0.0,
2014-09-04,Breakfast,215.0,3.5,1.6,0.1,0.5,0.0,10.0,131.0,822.0,40.0,3.1,26.0,9.3,11.0,21.0,30.0,1.0,
2014-09-04,Lunch,969.0,47.3,11.2,8.0,15.1,0.0,190.0,1517.3,907.9,53.3,4.4,4.4,81.0,8.0,6.0,31.0,15.5,
2015-05-24,Breakfast,119.8,6.3,3.0,0.0,0.0,0.0,20.0,1493.7,347.6,7.5,1.6,5.0,7.0,29.0,25.3,0.9,1.4,
2015-05-24,Lunch,390.0,13.0,6.0,0.0,0.0,0.0,35.0,780.0,0.0,45.0,2.0,7.0,21.0,10.0,4.0,35.0,20.0,
2015-05-24,Dinner,1152.0,80.0,16.0,0.0,0.0,0.0,416.0,1056.0,0.0,16.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,
2015-05-24,Snacks,156.3,12.5,2.2,0.0,0.0,0.0,0.0,65.6,0.0,6.9,1.9,2.5,5.6,0.0,0.0,1.3,3.8,
2015-05-25,Breakfast,265.6,6.0,3.0,0.0,1.5,0.0,20.0,152.0,736.8,41.1,7.5,28.6,12.5,28.1,77.9,39.0,8.0,
2015-05-25,Lunch,540.0,27.0,8.0,0.0,1.5,0.0,20.0,442.0,595.0,56.0,4.0,35.0,21.0,10.0,0.0,50.0,14.0,
2015-05-25,Dinner,2009.0,109.7,9.7,14.7,36.7,0.0,223.8,1082.7,702.7,204.0,10.0,0.0,58.5,2.0,6.0,12.3,40.0,
2015-05-26,Breakfast,437.8,13.1,7.0,0.0,0.0,0.0,40.0,656.0,76.4,67.9,4.3,9.9,15.3,1.1,2.4,0.8,0.8,
2015-05-26,Lunch,579.5,39.9,17.3,1.3,14.4,0.0,111.9,276.3,351.3,19.0,1.0,2.0,33.2,0.0,0.0,5.1,20.0,
2015-05-26,Dinner,670.0,41.0,18.0,0.0,0.0,1.0,120.0,1440.0,0.0,39.0,3.0,10.0,37.0,20.0,15.0,35.0,30.0,
2015-05-27,Breakfast,7.8,0.1,0.0,0.0,0.0,0.0,0.0,1.0,76.4,1.9,0.3,0.9,0.3,1.1,2.4,0.8,0.8,
2015-05-27,Lunch,266.7,10.7,2.0,0.0,0.0,0.0,13.3,533.3,0.0,34.7,4.0,1.3,9.3,2.7,0.0,13.3,8.0,
2015-05-27,Dinner,990.0,37.2,9.0,0.0,0.0,0.0,83.3,3123.0,405.0,106.5,5.9,7.5,36.0,45.0,18.0,6.0,12.0,
2015-05-28,Breakfast,437.8,13.1,7.0,0.0,0.0,0.0,40.0,656.0,76.4,67.9,4.3,9.9,15.3,1.1,2.4,0.8,0.8,
2015-05-28,Lunch,266.7,10.7,2.0,0.0,0.0,0.0,13.3,533.3,0.0,34.7,4.0,1.3,9.3,2.7,0.0,13.3,8.0,
2015-05-28,Snacks,420.0,4.5,1.0,0.0,0.0,0.0,7.5,560.0,260.0,48.0,3.0,25.0,45.5,0.0,70.0,40.0,31.0,
2015-05-29,Breakfast,437.8,13.1,7.0,0.0,0.0,0.0,40.0,656.0,76.4,67.9,4.3,9.9,15.3,1.1,2.4,0.8,0.8,
2015-05-29,Lunch,500.0,14.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015-05-29,Dinner,706.7,54.8,22.0,0.0,0.0,0.0,160.0,173.7,483.3,10.0,5.0,3.3,41.3,13.3,200.0,3.3,20.0,
2015-05-30,Breakfast,570.4,41.0,17.1,4.3,12.4,0.0,708.9,1618.5,353.1,9.2,0.6,5.5,39.2,27.0,4.9,42.5,14.0,
2015-05-30,Lunch,452.2,16.7,8.2,0.6,3.7,0.0,46.8,697.3,85.5,62.9,4.3,8.7,14.7,0.7,0.6,0.0,0.0,
2015-05-30,Snacks,480.0,6.0,2.0,0.0,0.0,0.0,0.0,400.0,520.0,90.0,6.0,50.0,16.0,0.0,140.0,50.0,50.0,
2015-06-01,Breakfast,560.0,19.0,8.0,0.0,0.0,0.0,85.0,1710.0,0.0,58.0,3.0,1.0,42.0,25.0,45.0,25.0,20.0,
2015-06-03,Breakfast,530.0,18.0,2.5,0.0,0.0,0.0,45.0,1620.0,0.0,60.0,2.0,10.0,31.0,0.0,0.0,0.0,0.0,
2015-06-03,Snacks,420.0,4.5,1.0,0.0,0.0,0.0,7.5,560.0,260.0,48.0,3.0,25.0,45.5,0.0,70.0,40.0,31.0,
2015-06-04,Breakfast,530.0,18.0,2.5,0.0,0.0,0.0,45.0,1620.0,0.0,60.0,2.0,10.0,31.0,0.0,0.0,0.0,0.0,
2015-06-04,Lunch,507.7,28.8,6.3,0.0,0.0,0.0,73.8,1625.0,34.9,2.5,0.2,1.1,19.0,32.7,13.4,0.6,10.9,
2015-06-04,Dinner,1096.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,
2015-06-05,Breakfast,530.0,18.0,2.5,0.0,0.0,0.0,45.0,1620.0,0.0,60.0,2.0,10.0,31.0,0.0,0.0,0.0,0.0,
2015-06-05,Lunch,250.0,17.0,2.5,1.5,10.0,0.0,65.0,75.0,284.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,
2015-06-08,Breakfast,530.0,18.0,2.5,0.0,0.0,0.0,45.0,1620.0,0.0,60.0,2.0,10.0,31.0,0.0,0.0,0.0,0.0,
2015-06-08,Lunch,840.0,42.0,12.0,0.0,0.0,0.0,0.0,207.6,0.0,70.0,4.6,56.6,14.6,0.0,0.0,10.0,14.0,
2015-06-08,Snacks,1446.0,57.4,16.2,0.6,4.0,0.0,73.6,1230.2,1998.0,122.2,12.0,83.0,119.2,31.6,32.4,119.6,29.2,
2015-06-16,Breakfast,530.0,18.0,2.5,0.0,0.0,0.0,45.0,1620.0,0.0,60.0,2.0,10.0,31.0,0.0,0.0,0.0,0.0,
2015-06-16,Snacks,240.0,3.0,1.0,0.0,0.0,0.0,0.0,200.0,260.0,45.0,3.0,25.0,8.0,0.0,70.0,25.0,25.0,
2015-06-23,Breakfast,619.4,19.5,2.8,0.3,0.3,0.0,81.0,2476.7,116.1,60.0,2.0,10.0,45.7,0.0,0.0,7.1,1.3,
2015-06-23,Lunch,150.0,4.5,1.5,0.0,0.0,0.0,0.0,70.0,0.0,23.0,2.5,8.0,2.0,0.0,0.0,2.0,6.0,
2015-06-24,Breakfast,532.4,18.0,2.5,0.0,0.0,0.0,45.0,1624.7,116.1,60.0,2.0,10.0,31.3,0.0,0.0,0.5,0.1,
2015-06-24,Lunch,148.0,6.0,0.5,0.0,0.0,0.0,0.0,450.0,0.0,18.0,3.5,0.5,6.0,1.5,5.5,3.5,11.5,
2015-06-24,Snacks,240.0,3.0,1.0,0.0,0.0,0.0,0.0,200.0,260.0,45.0,3.0,25.0,8.0,0.0,70.0,25.0,25.0,
2015-07-11,Breakfast,953.6,49.5,21.6,4.8,14.7,0.0,738.9,1442.3,1185.5,72.2,6.0,34.3,58.8,42.0,0.6,94.1,63.6,
2015-08-20,Breakfast,383.8,28.3,9.7,3.9,8.7,0.0,664.2,862.4,339.5,4.0,0.0,3.2,26.3,19.3,0.6,13.0,12.2,
2015-08-20,Lunch,350.0,8.5,3.5,2.0,2.0,0.0,40.0,1540.0,420.0,49.0,4.8,26.0,18.0,10.0,0.0,44.0,6.0,
2015-09-15,Lunch,660.7,24.0,12.0,0.0,0.0,0.0,60.1,1521.6,0.0,76.1,2.0,10.0,32.0,8.0,16.0,60.1,12.0,
2015-11-13,Breakfast,214.0,7.4,3.2,0.6,0.3,0.0,20.0,590.2,225.6,26.7,4.4,5.3,11.8,0.0,0.0,0.2,0.1,
2015-11-13,Lunch,480.0,15.0,4.5,0.0,0.0,0.0,15.0,200.0,0.0,76.0,6.0,54.0,14.0,10.0,20.0,30.0,6.0,
2015-11-13,Snacks,80.0,6.0,3.0,0.0,0.0,0.0,15.0,190.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,20.0,0.0,
2015-12-03,Breakfast,431.3,28.3,9.0,3.9,8.7,0.0,696.7,568.7,252.5,4.0,0.0,3.2,37.6,19.3,0.6,13.0,23.5,
2015-12-04,Breakfast,440.0,11.0,4.5,1.5,3.0,0.0,20.0,570.0,1000.0,74.0,9.0,16.0,19.0,40.0,30.0,65.0,135.0,
2015-12-04,Lunch,716.7,36.3,10.5,10.0,4.2,0.0,116.7,1291.7,200.0,58.0,2.0,8.0,40.0,8.0,0.0,38.0,24.0,
2015-12-16,Breakfast,611.8,38.6,14.8,4.1,10.6,0.0,709.8,1134.2,459.7,7.6,1.3,4.9,39.2,27.3,76.2,28.1,14.0,
2015-12-16,Lunch,330.0,6.0,3.0,0.5,1.5,0.0,20.0,150.0,660.0,60.0,6.0,24.0,15.0,10.0,0.0,35.0,90.0,
2016-02-04,Breakfast,285.0,1.5,0.0,0.8,0.0,0.0,0.0,0.0,300.0,69.0,9.0,16.5,7.5,0.0,0.0,0.0,75.0,
2016-02-04,Lunch,620.0,24.0,4.5,1.5,12.0,0.0,20.0,1460.0,0.0,77.0,8.0,11.0,17.0,25.0,65.0,16.0,20.0,
2016-02-04,Dinner,926.0,37.5,16.8,0.0,0.0,0.0,0.0,954.0,0.0,94.8,7.1,6.0,51.0,0.0,0.0,0.0,0.0,
2016-02-04,Snacks,120.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,120.0,28.0,3.3,7.3,2.7,0.0,0.0,0.0,60.0,
2016-02-05,Breakfast,420.0,19.0,5.0,0.0,0.0,0.0,20.0,660.0,0.0,46.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,
2016-02-05,Lunch,500.0,32.0,6.0,0.0,0.0,0.0,70.0,580.0,0.0,36.0,4.0,16.0,18.0,20.0,50.0,12.0,12.0,
2016-02-09,Breakfast,260.0,9.0,3.5,0.0,0.0,0.0,50.0,560.0,0.0,37.0,3.0,5.0,11.0,2.0,0.0,15.0,10.0,
2016-02-09,Lunch,960.0,42.0,3.5,0.0,0.0,0.0,45.0,1370.0,0.0,109.0,4.0,56.0,36.0,24.0,39.0,12.0,30.0,
2016-02-09,Dinner,954.0,40.0,4.5,0.0,0.0,0.0,20.0,430.0,0.0,112.0,7.0,1.0,34.0,4.0,2.0,15.0,10.0,
2016-02-10,Breakfast,260.0,9.0,3.5,0.0,0.0,0.0,50.0,560.0,0.0,37.0,3.0,5.0,11.0,2.0,0.0,15.0,10.0,
2016-02-10,Lunch,250.0,6.0,1.0,0.0,0.0,0.0,25.0,320.0,0.0,38.0,4.0,14.0,13.0,45.0,40.0,10.0,10.0,
2016-02-11,Breakfast,280.0,9.0,3.5,0.0,0.0,0.0,50.0,720.0,0.0,35.0,1.0,2.0,12.0,6.0,0.0,20.0,10.0,
2016-02-11,Lunch,500.0,32.0,6.0,0.0,0.0,0.0,70.0,580.0,0.0,36.0,4.0,16.0,18.0,20.0,50.0,12.0,12.0,
2016-02-11,Dinner,200.0,7.0,3.0,0.0,0.0,0.0,0.0,1300.0,0.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,
2016-02-11,Snacks,280.0,10.0,1.0,1.0,8.0,0.0,0.0,539.9,0.0,36.0,2.0,2.0,6.0,0.0,0.0,4.0,8.0,
2016-02-12,Breakfast,280.0,9.0,3.5,0.0,0.0,0.0,50.0,720.0,0.0,35.0,1.0,2.0,12.0,6.0,0.0,20.0,10.0,
2016-02-12,Lunch,500.0,34.0,2.5,0.0,0.0,0.0,45.0,750.0,0.0,32.0,4.0,19.0,17.0,170.0,80.0,10.0,15.0,
2016-02-16,Breakfast,260.0,9.0,3.5,0.0,0.0,0.0,50.0,560.0,0.0,37.0,3.0,5.0,11.0,2.0,0.0,15.0,10.0,
2016-02-16,Lunch,390.0,10.0,6.0,0.0,0.0,0.0,40.0,720.0,0.0,46.0,7.0,4.0,30.0,20.0,80.0,25.0,20.0,
2016-02-16,Dinner,366.0,19.4,7.6,1.6,0.0,0.0,110.0,254.0,682.2,0.4,0.0,0.0,44.4,0.0,1.0,1.2,23.3,
2016-02-17,Breakfast,260.0,9.0,3.5,0.0,0.0,0.0,50.0,560.0,0.0,37.0,3.0,5.0,11.0,2.0,0.0,15.0,10.0,
2016-02-17,Lunch,670.0,32.0,6.0,0.0,0.0,0.0,70.0,580.0,0.0,80.0,4.0,60.0,18.0,20.0,50.0,12.0,12.0,
2016-02-18,Breakfast,260.0,9.0,3.5,0.0,0.0,0.0,50.0,560.0,0.0,37.0,3.0,5.0,11.0,2.0,0.0,15.0,10.0,
2016-02-18,Lunch,1000.0,68.0,5.0,0.0,0.0,0.0,90.0,1500.0,0.0,64.0,8.0,38.0,34.0,340.0,160.0,20.0,30.0,
2016-02-18,Snacks,770.0,44.0,11.0,0.0,0.0,0.0,0.0,440.0,0.0,77.0,11.0,11.0,27.6,0.0,0.0,0.0,27.6,
2016-02-19,Breakfast,260.0,8.0,3.5,0.0,0.0,1.0,50.0,700.0,0.0,35.0,2.0,2.0,12.0,10.0,0.0,20.0,15.0,
2016-02-19,Lunch,800.0,42.0,7.0,0.0,0.0,0.0,70.0,1880.0,0.0,84.0,6.0,24.0,24.0,24.0,58.0,12.0,16.0,
2016-02-19,Snacks,280.0,10.0,1.0,1.0,8.0,0.0,0.0,539.9,0.0,36.0,2.0,2.0,6.0,0.0,0.0,4.0,8.0,
2016-02-22,Breakfast,260.0,8.0,3.5,0.0,0.0,1.0,50.0,700.0,0.0,35.0,2.0,2.0,12.0,10.0,0.0,20.0,15.0,
2016-02-22,Lunch,700.0,38.7,6.7,0.0,0.0,0.0,70.0,1446.6,0.0,68.0,5.3,21.3,22.0,22.7,55.3,12.0,14.7,
2016-02-22,Snacks,210.0,7.5,0.8,0.8,6.0,0.0,0.0,405.0,0.0,27.0,1.5,1.5,4.5,0.0,0.0,3.0,6.0,
2016-02-23,Breakfast,150.0,2.5,1.5,0.0,0.0,0.0,10.0,160.0,420.0,25.0,0.8,24.0,8.0,10.0,0.0,40.0,2.0,
2016-02-23,Lunch,700.0,40.7,3.2,0.0,0.0,0.0,45.0,1616.6,0.0,64.0,5.3,24.3,21.0,172.7,85.3,10.0,17.7,
2016-02-23,Snacks,140.0,8.0,2.0,0.0,0.0,0.0,0.0,80.0,0.0,14.0,2.0,2.0,5.0,0.0,0.0,0.0,5.0,
2016-02-24,Breakfast,230.0,9.3,4.3,0.0,0.0,0.0,24.0,290.0,420.0,26.8,0.8,24.3,11.0,10.0,0.0,40.0,2.0,
2016-02-24,Lunch,400.0,30.0,7.0,0.0,0.0,0.0,140.0,700.0,0.0,20.0,6.0,6.0,16.0,40.0,30.0,20.0,12.0,
2016-02-24,Dinner,745.0,7.5,1.3,0.0,0.0,0.0,162.5,1927.5,710.0,102.0,0.0,96.0,65.0,0.0,36.0,0.0,17.0,
2016-02-24,Snacks,420.0,26.0,10.0,0.0,0.0,0.0,40.0,330.0,0.0,30.0,4.0,4.0,20.0,8.0,0.0,30.0,10.0,
2016-02-25,Breakfast,450.0,9.0,1.5,3.0,3.0,0.0,0.0,0.0,0.0,81.0,12.0,3.0,15.0,0.0,0.0,6.0,30.0,
2016-02-25,Lunch,500.0,34.0,2.5,0.0,0.0,0.0,45.0,750.0,0.0,32.0,4.0,19.0,17.0,170.0,80.0,10.0,15.0,
2016-02-25,Snacks,280.0,10.0,1.0,1.0,8.0,0.0,0.0,539.9,0.0,36.0,2.0,2.0,6.0,0.0,0.0,4.0,8.0,
2016-02-26,Breakfast,450.0,9.0,1.5,3.0,3.0,0.0,0.0,0.0,0.0,81.0,12.0,3.0,15.0,0.0,0.0,6.0,30.0,
2016-02-27,Breakfast,241.3,17.4,9.2,1.3,2.9,0.0,220.7,170.8,84.2,17.3,4.0,13.1,8.8,6.4,0.2,4.3,34.1,
2016-02-27,Lunch,360.0,11.3,3.4,0.0,0.0,0.0,11.3,150.0,0.0,57.0,4.5,40.5,10.5,7.5,15.0,22.5,4.5,
2016-02-27,Dinner,1065.0,59.0,23.0,0.0,0.0,1.0,120.0,1685.0,0.0,93.0,5.0,10.0,44.0,20.0,15.0,37.0,40.0,
2016-02-28,Breakfast,750.0,25.0,2.0,2.0,2.0,0.0,1350.0,500.0,0.0,65.0,3.0,9.0,30.0,0.0,0.0,0.0,0.0,
2016-02-28,Lunch,994.0,46.0,7.0,0.0,0.0,0.0,35.0,910.0,0.0,110.0,2.0,3.0,38.0,0.0,0.0,0.0,0.0,
2016-02-28,Dinner,428.0,21.0,0.0,0.0,0.0,0.0,170.0,2550.0,0.0,9.4,1.6,0.0,49.4,0.0,0.0,0.0,0.0,
2016-02-28,Snacks,263.0,8.1,0.0,0.0,0.0,0.0,40.0,352.0,0.0,46.0,1.5,0.0,3.2,0.0,0.0,0.0,0.0,
2016-02-29,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-02-29,Lunch,920.0,44.7,10.7,0.0,0.0,0.0,110.0,2666.6,0.0,90.0,5.3,7.3,38.0,14.7,13.3,4.0,14.7,
2016-02-29,Snacks,229.1,13.1,3.3,0.0,0.0,0.0,0.0,130.9,0.0,22.9,3.3,3.3,8.2,0.0,0.0,0.0,8.2,
2016-03-01,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-03-01,Snacks,980.0,51.0,19.0,0.0,0.0,0.0,0.0,910.0,0.0,113.0,9.0,4.0,20.0,0.0,0.0,10.0,20.0,
2016-03-02,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-03-02,Lunch,450.0,12.7,1.7,0.0,0.0,0.0,25.0,1186.6,0.0,70.0,5.3,19.3,17.0,47.7,45.3,10.0,12.7,
2016-03-02,Dinner,650.0,7.0,0.0,0.9,0.3,0.0,0.0,360.0,0.0,132.0,17.0,9.0,23.0,8.0,25.0,2.0,34.0,
2016-03-03,Breakfast,570.0,14.0,7.0,0.0,0.0,0.0,65.0,800.0,840.0,88.0,4.6,51.0,26.0,24.0,0.0,95.0,19.0,
2016-03-03,Lunch,1000.0,68.0,5.0,0.0,0.0,0.0,90.0,1500.0,0.0,64.0,8.0,38.0,34.0,340.0,160.0,20.0,30.0,
2016-03-04,Breakfast,491.7,19.8,9.8,0.4,3.0,0.0,71.5,516.7,423.4,53.0,1.8,40.0,10.5,17.1,0.0,40.3,2.0,
2016-03-04,Lunch,500.0,32.0,6.0,0.0,0.0,0.0,70.0,580.0,0.0,36.0,4.0,16.0,18.0,20.0,50.0,12.0,12.0,
2016-03-04,Snacks,426.7,0.0,0.0,0.0,0.0,0.0,0.0,497.8,0.0,99.6,3.6,74.7,3.6,0.0,0.0,0.0,0.0,
2016-03-05,Breakfast,895.7,48.8,16.2,3.1,7.5,3.4,616.8,1356.7,1038.5,64.9,7.0,7.5,46.5,139.1,10.0,30.4,43.9,
2016-03-06,Breakfast,270.0,1.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,61.0,2.0,58.0,2.0,15.0,80.0,8.0,6.0,
2016-03-06,Lunch,1360.0,66.0,12.5,0.0,0.0,0.0,105.0,2260.0,0.0,156.0,5.0,52.0,48.0,0.0,0.0,0.0,0.0,
2016-03-06,Dinner,840.0,33.0,15.0,9.0,9.0,0.0,75.0,1680.0,0.0,96.0,6.0,9.0,42.0,24.0,18.0,60.0,30.0,
2016-03-06,Snacks,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,42.0,5.0,11.0,4.0,0.0,0.0,0.0,90.0,
2016-03-08,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-03-08,Lunch,720.0,38.0,10.0,0.0,0.0,0.0,110.0,1800.0,0.0,58.0,4.0,2.0,34.0,12.0,8.0,4.0,12.0,
2016-03-08,Dinner,820.0,20.5,0.5,0.0,0.0,0.0,15.0,1920.0,0.0,115.5,5.0,7.0,44.5,8.0,0.0,0.0,27.0,
2016-03-08,Snacks,350.0,21.0,7.0,0.0,0.0,0.0,20.0,245.0,0.0,29.0,4.0,4.0,15.0,4.0,0.0,15.0,10.0,
2016-03-09,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-03-09,Lunch,700.0,40.7,3.2,0.0,0.0,0.0,45.0,1616.6,0.0,64.0,5.3,24.3,21.0,172.7,85.3,10.0,17.7,
2016-03-09,Snacks,270.0,15.0,5.0,2.0,2.5,0.0,20.0,130.0,0.0,29.0,2.0,11.0,7.0,2.0,0.0,0.0,7.0,
2016-03-10,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-03-10,Lunch,775.0,35.0,0.0,0.0,0.0,0.0,0.0,2470.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016-03-10,Dinner,859.0,20.0,8.0,0.0,0.0,0.0,30.0,830.0,0.0,145.0,10.0,11.0,24.0,17.0,25.0,4.0,32.0,
2016-03-10,Snacks,130.0,7.0,3.0,2.0,2.5,0.0,20.0,50.0,0.0,15.0,0.0,9.0,2.0,2.0,0.0,0.0,2.0,
2016-03-11,Breakfast,270.0,9.0,4.0,0.0,0.0,0.0,45.0,480.0,0.0,38.0,3.0,3.0,10.0,4.0,0.0,15.0,15.0,
2016-03-11,Lunch,700.0,38.7,6.7,0.0,0.0,0.0,70.0,1446.6,0.0,68.0,5.3,21.3,22.0,22.7,55.3,12.0,14.7,
2016-03-11,Dinner,876.0,71.0,7.5,0.0,0.0,0.0,25.0,1975.0,47.0,52.0,12.0,0.0,8.0,7.0,3.0,21.0,4.0,
